name,nDCG@10_llama,nDCG@10_qwen,rank_llama,rank_qwen
BM25,0.5164760795249341,0.3947993187042289,4,4
CodeBERT-base,0.402157888197807,0.0,5,5
MRL-LangChain,0.5411230743483769,0.5841590885545261,3,1
MRL-Dense,0.5694798146842723,0.5665843149150718,2,2
TctColBERT,0.6174367603905454,0.48306582316595414,1,3
